concentration,MP SET1,MP SET2
0.0196078431372549,42850.60784313725,42850.60784313725
0.0392156862745098,42854.21568627451,42854.21568627451
0.058823529411764705,42857.82352941176,42857.82352941176
0.0784313725490196,42861.43137254902,42861.43137254902
0.09803921568627451,42865.03921568627,42865.03921568627
0.11764705882352941,42868.64705882353,42868.64705882353
0.13725490196078433,42872.25490196078,42872.25490196078
0.1568627450980392,42875.86274509804,42875.86274509804
0.1764705882352941,42879.470588235294,42879.470588235294
0.19607843137254902,42883.07843137255,42883.07843137255
0.21568627450980393,42886.686274509804,42886.686274509804
0.23529411764705882,42890.294117647056,42890.294117647056
0.2549019607843137,42893.901960784315,42893.901960784315
0.27450980392156865,42897.509803921566,42897.509803921566
0.29411764705882354,42901.117647058825,42901.117647058825
0.3137254901960784,42904.72549019608,42904.72549019608
0.3333333333333333,42908.333333333336,42908.333333333336
0.3529411764705882,42911.94117647059,42911.94117647059
0.37254901960784315,42915.549019607846,42915.549019607846
0.39215686274509803,42919.1568627451,42919.1568627451
0.4117647058823529,42922.76470588235,42922.76470588235
0.43137254901960786,42926.37254901961,42926.37254901961
0.45098039215686275,42929.98039215686,42929.98039215686
0.47058823529411764,42933.58823529412,42933.58823529412
0.49019607843137253,42937.19607843137,42937.19607843137
0.5098039215686274,42940.80392156863,42940.80392156863
0.5294117647058824,42944.41176470588,42944.41176470588
0.5490196078431373,42948.01960784314,42948.01960784314
0.5686274509803921,42951.62745098039,42951.62745098039
0.5882352941176471,42955.23529411765,42955.23529411765
0.6078431372549019,42958.8431372549,42958.8431372549
0.6274509803921569,42962.450980392154,42962.450980392154
0.6470588235294118,42966.05882352941,42966.05882352941
0.6666666666666666,42969.666666666664,42969.666666666664
0.6862745098039216,42973.27450980392,42973.27450980392
0.7058823529411764,42976.882352941175,42976.882352941175
0.7254901960784313,42980.490196078434,42980.490196078434
0.7450980392156863,42984.098039215685,42984.098039215685
0.7647058823529411,42987.705882352944,42987.705882352944
0.7843137254901961,42991.313725490196,42991.313725490196
0.803921568627451,42994.92156862745,42994.92156862745
0.8235294117647058,42998.529411764706,42998.529411764706
0.8431372549019608,43002.13725490196,43002.13725490196
0.8627450980392157,43005.74509803922,43005.74509803922
0.8823529411764706,43009.35294117647,43009.35294117647
0.9019607843137255,43012.96078431373,43012.96078431373
0.9215686274509803,43016.56862745098,43016.56862745098
0.9411764705882353,43020.17647058824,43020.17647058824
0.9607843137254902,43023.78431372549,43023.78431372549
0.9803921568627451,43027.39215686275,43027.39215686275
1.0784313725490196,43013.80392156863,43013.80392156863
1.156862745098039,42996.60784313725,42996.60784313725
1.2352941176470589,42979.41176470588,42979.41176470588
1.3137254901960784,42962.21568627451,42962.21568627451
1.392156862745098,42945.01960784314,42945.01960784314
1.4705882352941178,42927.82352941176,42927.82352941176
1.5490196078431373,42910.62745098039,42910.62745098039
1.6274509803921569,42893.43137254902,42893.43137254902
1.7058823529411764,42876.23529411765,42876.23529411765
1.784313725490196,42859.03921568627,42859.03921568627
1.8627450980392157,42841.8431372549,42841.8431372549
1.9411764705882353,42824.64705882353,42824.64705882353
2.019607843137255,42807.450980392154,42807.450980392154
2.0980392156862746,42790.25490196078,42790.25490196078
2.1764705882352944,42773.05882352941,42773.05882352941
2.2549019607843137,42755.86274509804,42755.86274509804
2.333333333333333,42738.666666666664,42738.666666666664
2.411764705882353,42721.470588235294,42721.470588235294
2.4901960784313726,42704.27450980392,42704.27450980392
2.568627450980392,42687.07843137255,42687.07843137255
2.6470588235294117,42669.882352941175,42669.882352941175
2.7254901960784315,42652.686274509804,42652.686274509804
2.803921568627451,42635.490196078434,42635.490196078434
2.8823529411764706,42618.294117647056,42618.294117647056
2.9607843137254903,42601.098039215685,42601.098039215685
3.0392156862745097,42583.901960784315,42583.901960784315
3.1176470588235294,42566.705882352944,42566.705882352944
3.196078431372549,42549.509803921566,42549.509803921566
3.2745098039215685,42532.313725490196,42532.313725490196
3.3529411764705883,42515.117647058825,42515.117647058825
3.4313725490196076,42497.921568627455,42497.921568627455
3.5098039215686274,42480.72549019608,42480.72549019608
3.588235294117647,42463.529411764706,42463.529411764706
3.6666666666666665,42446.333333333336,42446.333333333336
3.7450980392156863,42429.13725490196,42429.13725490196
3.8235294117647056,42411.94117647059,42411.94117647059
3.9019607843137254,42394.74509803922,42394.74509803922
3.980392156862745,42377.549019607846,42377.549019607846
4.0588235294117645,42360.35294117647,42360.35294117647
4.137254901960784,42343.1568627451,42343.1568627451
4.215686274509804,42325.96078431373,42325.96078431373
4.294117647058823,42308.76470588235,42308.76470588235
4.372549019607844,42291.56862745098,42291.56862745098
4.450980392156863,42274.37254901961,42274.37254901961
4.529411764705882,42257.17647058824,42257.17647058824
4.607843137254902,42239.98039215686,42239.98039215686
4.686274509803921,42222.78431372549,42222.78431372549
4.764705882352941,42205.58823529412,42205.58823529412
4.843137254901961,42188.39215686275,42188.39215686275
4.921568627450981,42171.19607843137,42171.19607843137
5.098039215686274,42127.43137254902,42127.43137254902
5.196078431372549,42100.86274509804,42100.86274509804
5.294117647058823,42074.294117647056,42074.294117647056
5.392156862745098,42047.72549019608,42047.72549019608
5.490196078431373,42021.1568627451,42021.1568627451
5.588235294117647,41994.58823529412,41994.58823529412
5.686274509803922,41968.01960784314,41968.01960784314
5.784313725490196,41941.450980392154,41941.450980392154
5.882352941176471,41914.882352941175,41914.882352941175
5.980392156862745,41888.313725490196,41888.313725490196
6.078431372549019,41861.74509803922,41861.74509803922
6.176470588235294,41835.17647058824,41835.17647058824
