concentration,Albu SET1
0.0196078431372549,62042.82352941176
0.0392156862745098,62033.64705882353
0.058823529411764705,62024.470588235294
0.0784313725490196,62015.294117647056
0.09803921568627451,62006.117647058825
0.11764705882352941,61996.94117647059
0.13725490196078433,61987.76470588235
0.1568627450980392,61978.58823529412
0.1764705882352941,61969.41176470588
0.19607843137254902,61960.23529411765
0.21568627450980393,61951.05882352941
0.23529411764705882,61941.882352941175
0.2549019607843137,61932.705882352944
0.27450980392156865,61923.529411764706
0.29411764705882354,61914.35294117647
0.3137254901960784,61905.17647058824
0.3333333333333333,61896.0
0.3529411764705882,61886.82352941176
0.37254901960784315,61877.64705882353
0.39215686274509803,61868.470588235294
0.4117647058823529,61859.294117647056
0.43137254901960786,61850.117647058825
0.45098039215686275,61840.94117647059
0.47058823529411764,61831.76470588235
0.49019607843137253,61822.58823529412
0.5098039215686274,61813.41176470588
0.5294117647058824,61804.23529411765
0.5490196078431373,61795.05882352941
0.5686274509803921,61785.882352941175
0.5882352941176471,61776.705882352944
0.6078431372549019,61767.529411764706
0.6274509803921569,61758.35294117647
0.6470588235294118,61749.17647058824
0.6666666666666666,61740.0
0.6862745098039216,61730.82352941176
0.7058823529411764,61721.64705882353
0.7254901960784313,61712.470588235294
0.7450980392156863,61703.294117647056
0.7647058823529411,61694.117647058825
0.7843137254901961,61684.94117647059
0.803921568627451,61675.76470588235
0.8235294117647058,61666.58823529412
0.8431372549019608,61657.41176470588
0.8627450980392157,61648.23529411765
0.8823529411764706,61639.05882352941
0.9019607843137255,61629.882352941175
0.9215686274509803,61620.705882352944
0.9411764705882353,61611.529411764706
0.9607843137254902,61602.35294117647
0.9803921568627451,61593.17647058824
1.0784313725490196,61502.13725490196
1.156862745098039,61420.27450980392
1.2352941176470589,61338.41176470588
1.3137254901960784,61256.549019607846
1.392156862745098,61174.686274509804
1.4705882352941178,61092.82352941176
1.5490196078431373,61010.96078431373
1.6274509803921569,60929.098039215685
1.7058823529411764,60847.23529411765
1.784313725490196,60765.37254901961
1.8627450980392157,60683.509803921566
1.9411764705882353,60601.64705882353
2.019607843137255,60519.78431372549
2.0980392156862746,60437.921568627455
2.1764705882352944,60356.05882352941
2.2549019607843137,60274.19607843137
2.333333333333333,60192.333333333336
2.411764705882353,60110.470588235294
2.4901960784313726,60028.60784313725
2.568627450980392,59946.74509803922
2.6470588235294117,59864.882352941175
2.7254901960784315,59783.01960784314
2.803921568627451,59701.1568627451
2.8823529411764706,59619.294117647056
2.9607843137254903,59537.43137254902
3.0392156862745097,59455.56862745098
3.1176470588235294,59373.705882352944
3.196078431372549,59291.8431372549
3.2745098039215685,59209.98039215686
3.3529411764705883,59128.117647058825
3.4313725490196076,59046.25490196078
3.5098039215686274,58964.39215686275
3.588235294117647,58882.529411764706
3.6666666666666665,58800.666666666664
3.7450980392156863,58718.80392156863
3.8235294117647056,58636.94117647059
3.9019607843137254,58555.078431372545
3.980392156862745,58473.21568627451
4.0588235294117645,58391.35294117647
4.137254901960784,58309.490196078434
4.215686274509804,58227.62745098039
4.294117647058823,58145.76470588235
4.372549019607844,58063.901960784315
4.450980392156863,57982.03921568627
4.529411764705882,57900.17647058824
4.607843137254902,57818.313725490196
4.686274509803921,57736.450980392154
4.764705882352941,57654.58823529412
4.843137254901961,57572.72549019608
4.921568627450981,57490.86274509804
5.098039215686274,57293.80392156863
5.196078431372549,57178.60784313725
5.294117647058823,57063.41176470588
5.392156862745098,56948.21568627451
5.490196078431373,56833.01960784314
5.588235294117647,56717.82352941176
5.686274509803922,56602.62745098039
5.784313725490196,56487.43137254902
5.882352941176471,56372.23529411765
5.980392156862745,56257.03921568627
6.078431372549019,56141.8431372549
6.176470588235294,56026.64705882353
6.2745098039215685,55911.450980392154
6.372549019607844,55796.25490196078
6.470588235294118,55681.05882352941
6.568627450980392,55565.86274509804
6.666666666666667,55450.666666666664
6.764705882352941,55335.470588235294
6.862745098039216,55220.27450980392
6.96078431372549,55105.078431372545
7.0588235294117645,54989.882352941175
7.156862745098039,54874.686274509804
7.254901960784314,54759.490196078434
7.352941176470589,54644.294117647056
7.450980392156863,54529.098039215685
7.549019607843137,54413.901960784315
7.647058823529411,54298.705882352944
7.745098039215686,54183.509803921566
7.843137254901961,54068.313725490196
7.9411764705882355,53953.117647058825
8.03921568627451,53837.92156862745
8.137254901960784,53722.72549019608
8.235294117647058,53607.529411764706
8.333333333333334,53492.333333333336
8.431372549019608,53377.13725490196
8.529411764705882,53261.94117647059
8.627450980392156,53146.74509803922
8.725490196078432,53031.549019607846
8.823529411764707,52916.35294117647
8.92156862745098,52801.1568627451
9.019607843137255,52685.96078431373
9.117647058823529,52570.76470588235
9.215686274509803,52455.56862745098
9.313725490196077,52340.37254901961
9.411764705882353,52225.17647058824
9.509803921568627,52109.98039215686
9.607843137254902,51994.78431372549
9.705882352941178,51879.58823529412
9.803921568627452,51764.39215686274
9.901960784313726,51649.19607843137
10.098039215686274,51449.0
10.196078431372548,51364.0
10.294117647058824,51279.0
10.392156862745098,51194.0
10.490196078431373,51109.0
10.588235294117647,51024.0
10.686274509803921,50939.0
10.784313725490197,50854.0
10.882352941176471,50769.0
10.980392156862745,50684.0
11.07843137254902,50599.0
11.176470588235293,50514.0
11.274509803921568,50429.0
11.372549019607844,50344.0
11.470588235294118,50259.0
11.568627450980392,50174.0
11.666666666666666,50089.0
11.764705882352942,50004.0
11.862745098039216,49919.0
11.96078431372549,49834.0
12.058823529411764,49749.0
12.156862745098039,49664.0
12.254901960784313,49579.0
12.352941176470589,49494.0
