concentration,Glucu SET1,Glucu SET2
0.0196078431372549,55884.82352941176,61120.07843137255
0.0392156862745098,55952.64705882353,61097.1568627451
0.058823529411764705,56020.470588235294,61074.23529411765
0.0784313725490196,56088.294117647056,61051.313725490196
0.09803921568627451,56156.117647058825,61028.39215686275
0.11764705882352941,56223.94117647059,61005.470588235294
0.13725490196078433,56291.76470588235,60982.549019607846
0.1568627450980392,56359.58823529412,60959.62745098039
0.1764705882352941,56427.41176470588,60936.705882352944
0.19607843137254902,56495.23529411765,60913.78431372549
0.21568627450980393,56563.05882352941,60890.86274509804
0.23529411764705882,56630.882352941175,60867.94117647059
0.2549019607843137,56698.705882352944,60845.01960784314
0.27450980392156865,56766.529411764706,60822.098039215685
0.29411764705882354,56834.35294117647,60799.17647058824
0.3137254901960784,56902.17647058824,60776.25490196078
0.3333333333333333,56970.0,60753.333333333336
0.3529411764705882,57037.82352941176,60730.41176470588
0.37254901960784315,57105.64705882353,60707.490196078434
0.39215686274509803,57173.470588235294,60684.56862745098
0.4117647058823529,57241.294117647056,60661.64705882353
0.43137254901960786,57309.117647058825,60638.72549019608
0.45098039215686275,57376.94117647059,60615.80392156863
0.47058823529411764,57444.76470588235,60592.882352941175
0.49019607843137253,57512.58823529412,60569.96078431373
0.5098039215686274,57580.41176470588,60547.03921568627
0.5294117647058824,57648.23529411765,60524.117647058825
0.5490196078431373,57716.05882352941,60501.19607843137
0.5686274509803921,57783.882352941175,60478.27450980392
0.5882352941176471,57851.705882352944,60455.35294117647
0.6078431372549019,57919.529411764706,60432.43137254902
0.6274509803921569,57987.35294117647,60409.509803921566
0.6470588235294118,58055.17647058824,60386.58823529412
0.6666666666666666,58123.0,60363.666666666664
0.6862745098039216,58190.82352941176,60340.74509803922
0.7058823529411764,58258.64705882353,60317.82352941176
0.7254901960784313,58326.470588235294,60294.901960784315
0.7450980392156863,58394.294117647056,60271.98039215686
0.7647058823529411,58462.117647058825,60249.05882352941
0.7843137254901961,58529.94117647059,60226.13725490196
0.803921568627451,58597.76470588235,60203.21568627451
0.8235294117647058,58665.58823529412,60180.294117647056
0.8431372549019608,58733.41176470588,60157.37254901961
0.8627450980392157,58801.23529411765,60134.450980392154
0.8823529411764706,58869.05882352941,60111.529411764706
0.9019607843137255,58936.882352941175,60088.60784313725
0.9215686274509803,59004.705882352944,60065.686274509804
0.9411764705882353,59072.529411764706,60042.76470588235
0.9607843137254902,59140.35294117647,60019.8431372549
0.9803921568627451,59208.17647058824,59996.921568627455
1.0784313725490196,59232.72549019608,59925.23529411765
1.156862745098039,59189.450980392154,59876.470588235294
1.2352941176470589,59146.17647058824,59827.705882352944
1.3137254901960784,59102.901960784315,59778.94117647059
1.392156862745098,59059.62745098039,59730.17647058824
1.4705882352941178,59016.35294117647,59681.41176470588
1.5490196078431373,58973.07843137255,59632.64705882353
1.6274509803921569,58929.80392156863,59583.882352941175
1.7058823529411764,58886.529411764706,59535.117647058825
1.784313725490196,58843.25490196078,59486.35294117647
1.8627450980392157,58799.98039215686,59437.58823529412
1.9411764705882353,58756.705882352944,59388.82352941176
2.019607843137255,58713.43137254902,59340.05882352941
2.0980392156862746,58670.1568627451,59291.294117647056
2.1764705882352944,58626.882352941175,59242.529411764706
2.2549019607843137,58583.60784313725,59193.76470588235
2.333333333333333,58540.333333333336,59145.0
2.411764705882353,58497.05882352941,59096.23529411765
2.4901960784313726,58453.78431372549,59047.470588235294
2.568627450980392,58410.509803921566,58998.705882352944
2.6470588235294117,58367.23529411765,58949.94117647059
2.7254901960784315,58323.96078431373,58901.17647058824
2.803921568627451,58280.686274509804,58852.41176470588
2.8823529411764706,58237.41176470588,58803.64705882353
2.9607843137254903,58194.13725490196,58754.882352941175
3.0392156862745097,58150.86274509804,58706.117647058825
3.1176470588235294,58107.58823529412,58657.35294117647
3.196078431372549,58064.313725490196,58608.58823529412
3.2745098039215685,58021.03921568627,58559.82352941176
3.3529411764705883,57977.76470588235,58511.05882352941
3.4313725490196076,57934.490196078434,58462.294117647056
3.5098039215686274,57891.21568627451,58413.529411764706
3.588235294117647,57847.94117647059,58364.76470588235
3.6666666666666665,57804.666666666664,58316.0
3.7450980392156863,57761.39215686275,58267.23529411765
3.8235294117647056,57718.117647058825,58218.470588235294
3.9019607843137254,57674.8431372549,58169.705882352944
3.980392156862745,57631.56862745098,58120.94117647059
4.0588235294117645,57588.294117647056,58072.17647058824
4.137254901960784,57545.01960784314,58023.41176470588
4.215686274509804,57501.74509803922,57974.64705882353
4.294117647058823,57458.470588235294,57925.882352941175
4.372549019607844,57415.19607843137,57877.117647058825
4.450980392156863,57371.921568627455,57828.35294117647
4.529411764705882,57328.64705882353,57779.58823529412
4.607843137254902,57285.37254901961,57730.82352941176
4.686274509803921,57242.098039215685,57682.05882352941
4.764705882352941,57198.82352941176,57633.294117647056
4.843137254901961,57155.549019607846,57584.529411764706
4.921568627450981,57112.27450980392,57535.76470588235
5.098039215686274,56991.74509803922,57415.58823529412
5.196078431372549,56914.490196078434,57344.17647058824
5.294117647058823,56837.23529411765,57272.76470588235
5.392156862745098,56759.98039215686,57201.35294117647
5.490196078431373,56682.72549019608,57129.94117647059
5.588235294117647,56605.470588235294,57058.529411764706
5.686274509803922,56528.21568627451,56987.117647058825
5.784313725490196,56450.96078431373,56915.705882352944
5.882352941176471,56373.705882352944,56844.294117647056
5.980392156862745,56296.450980392154,56772.882352941175
6.078431372549019,56219.19607843137,56701.470588235294
6.176470588235294,56141.94117647059,56630.05882352941
6.2745098039215685,56064.686274509804,56558.64705882353
