concentration,Cal SET1,Cal SET2
0.0196078431372549,16637.901960784315,16676.92156862745
0.0392156862745098,16601.803921568626,16652.843137254902
0.058823529411764705,16565.70588235294,16628.764705882353
0.0784313725490196,16529.607843137255,16604.686274509804
0.09803921568627451,16493.50980392157,16580.607843137255
0.11764705882352941,16457.41176470588,16556.529411764706
0.13725490196078433,16421.313725490196,16532.450980392157
0.1568627450980392,16385.21568627451,16508.37254901961
0.1764705882352941,16349.117647058823,16484.29411764706
0.19607843137254902,16313.019607843136,16460.21568627451
0.21568627450980393,16276.921568627451,16436.13725490196
0.23529411764705882,16240.823529411764,16412.058823529413
0.2549019607843137,16204.725490196079,16387.980392156864
0.27450980392156865,16168.627450980392,16363.901960784313
0.29411764705882354,16132.529411764706,16339.823529411764
0.3137254901960784,16096.43137254902,16315.745098039215
0.3333333333333333,16060.333333333334,16291.666666666666
0.3529411764705882,16024.235294117647,16267.588235294117
0.37254901960784315,15988.137254901962,16243.509803921568
0.39215686274509803,15952.039215686274,16219.43137254902
0.4117647058823529,15915.941176470587,16195.35294117647
0.43137254901960786,15879.843137254902,16171.274509803921
0.45098039215686275,15843.745098039215,16147.196078431372
0.47058823529411764,15807.64705882353,16123.117647058823
0.49019607843137253,15771.549019607843,16099.039215686274
0.5098039215686274,15735.450980392157,16074.960784313726
0.5294117647058824,15699.35294117647,16050.882352941177
0.5490196078431373,15663.254901960785,16026.803921568628
0.5686274509803921,15627.156862745098,16002.725490196079
0.5882352941176471,15591.058823529413,15978.64705882353
0.6078431372549019,15554.960784313726,15954.56862745098
0.6274509803921569,15518.862745098038,15930.490196078432
0.6470588235294118,15482.764705882353,15906.411764705883
0.6666666666666666,15446.666666666666,15882.333333333334
0.6862745098039216,15410.56862745098,15858.254901960785
0.7058823529411764,15374.470588235294,15834.176470588236
0.7254901960784313,15338.372549019608,15810.098039215687
0.7450980392156863,15302.274509803921,15786.019607843136
0.7647058823529411,15266.176470588234,15761.941176470587
0.7843137254901961,15230.078431372549,15737.862745098038
0.803921568627451,15193.980392156862,15713.78431372549
0.8235294117647058,15157.882352941177,15689.70588235294
0.8431372549019608,15121.78431372549,15665.627450980392
0.8627450980392157,15085.686274509804,15641.549019607843
0.8823529411764706,15049.588235294117,15617.470588235294
0.9019607843137255,15013.490196078432,15593.392156862745
0.9215686274509803,14977.392156862745,15569.313725490196
0.9411764705882353,14941.29411764706,15545.235294117647
0.9607843137254902,14905.196078431372,15521.156862745098
0.9803921568627451,14869.098039215685,15497.078431372549
1.0196078431372548,14816.862745098038,15450.392156862745
1.0392156862745099,14800.725490196079,15427.78431372549
1.0588235294117647,14784.588235294117,15405.176470588236
1.0784313725490196,14768.450980392157,15382.56862745098
1.0980392156862746,14752.313725490196,15359.960784313726
1.1176470588235294,14736.176470588236,15337.35294117647
1.1372549019607843,14720.039215686274,15314.745098039215
1.156862745098039,14703.901960784313,15292.137254901962
1.1764705882352942,14687.764705882353,15269.529411764706
1.196078431372549,14671.627450980392,15246.921568627451
1.215686274509804,14655.490196078432,15224.313725490196
1.2352941176470589,14639.35294117647,15201.70588235294
1.2549019607843137,14623.21568627451,15179.098039215687
1.2745098039215685,14607.078431372549,15156.490196078432
1.2941176470588236,14590.941176470587,15133.882352941177
1.3137254901960784,14574.803921568628,15111.274509803921
1.3333333333333333,14558.666666666666,15088.666666666666
1.3529411764705883,14542.529411764706,15066.058823529413
1.3725490196078431,14526.392156862745,15043.450980392157
1.392156862745098,14510.254901960785,15020.843137254902
1.4117647058823528,14494.117647058823,14998.235294117647
1.4313725490196079,14477.980392156864,14975.627450980392
1.4509803921568627,14461.843137254902,14953.019607843136
1.4705882352941178,14445.70588235294,14930.411764705883
1.4901960784313726,14429.56862745098,14907.803921568628
1.5098039215686274,14413.43137254902,14885.196078431372
1.5294117647058822,14397.29411764706,14862.588235294117
1.5490196078431373,14381.156862745098,14839.980392156864
1.5686274509803921,14365.019607843138,14817.372549019608
1.5882352941176472,14348.882352941177,14794.764705882353
1.607843137254902,14332.745098039215,14772.156862745098
1.6274509803921569,14316.607843137255,14749.549019607843
1.6470588235294117,14300.470588235294,14726.941176470587
1.6666666666666665,14284.333333333334,14704.333333333334
1.6862745098039216,14268.196078431372,14681.725490196079
1.7058823529411764,14252.058823529413,14659.117647058823
1.7254901960784315,14235.921568627451,14636.509803921568
1.7450980392156863,14219.78431372549,14613.901960784313
1.7647058823529411,14203.64705882353,14591.29411764706
1.784313725490196,14187.509803921568,14568.686274509804
1.803921568627451,14171.372549019608,14546.078431372549
1.8235294117647058,14155.235294117647,14523.470588235294
1.843137254901961,14139.098039215687,14500.862745098038
1.8627450980392157,14122.960784313726,14478.254901960785
1.8823529411764706,14106.823529411764,14455.64705882353
1.9019607843137254,14090.686274509804,14433.039215686274
1.9215686274509802,14074.549019607843,14410.43137254902
1.9411764705882353,14058.411764705883,14387.823529411764
1.9607843137254903,14042.274509803921,14365.21568627451
1.9803921568627452,14026.137254901962,14342.607843137255
2.019607843137255,13995.823529411764,14300.627450980392
2.0392156862745097,13981.64705882353,14281.254901960785
2.0588235294117645,13967.470588235294,14261.882352941177
2.0784313725490198,13953.29411764706,14242.509803921568
2.0980392156862746,13939.117647058823,14223.137254901962
2.1176470588235294,13924.941176470587,14203.764705882353
2.1372549019607843,13910.764705882353,14184.392156862745
2.156862745098039,13896.588235294117,14165.019607843138
2.176470588235294,13882.411764705883,14145.64705882353
2.196078431372549,13868.235294117647,14126.274509803921
2.215686274509804,13854.058823529413,14106.901960784313
