concentration,TP SET1,TP SET2
0.0196078431372549,49009.27450980392,48740.490196078434
0.0392156862745098,48978.549019607846,48692.98039215686
0.058823529411764705,48947.82352941176,48645.470588235294
0.0784313725490196,48917.098039215685,48597.96078431373
0.09803921568627451,48886.37254901961,48550.450980392154
0.11764705882352941,48855.64705882353,48502.94117647059
0.13725490196078433,48824.92156862745,48455.43137254902
0.1568627450980392,48794.19607843137,48407.92156862745
0.1764705882352941,48763.470588235294,48360.41176470588
0.19607843137254902,48732.74509803922,48312.901960784315
0.21568627450980393,48702.01960784314,48265.39215686275
0.23529411764705882,48671.294117647056,48217.882352941175
0.2549019607843137,48640.56862745098,48170.37254901961
0.27450980392156865,48609.8431372549,48122.86274509804
0.29411764705882354,48579.117647058825,48075.35294117647
0.3137254901960784,48548.39215686275,48027.8431372549
0.3333333333333333,48517.666666666664,47980.333333333336
0.3529411764705882,48486.94117647059,47932.82352941176
0.37254901960784315,48456.21568627451,47885.313725490196
0.39215686274509803,48425.490196078434,47837.80392156863
0.4117647058823529,48394.76470588235,47790.294117647056
0.43137254901960786,48364.03921568627,47742.78431372549
0.45098039215686275,48333.313725490196,47695.27450980392
0.47058823529411764,48302.58823529412,47647.76470588235
0.49019607843137253,48271.86274509804,47600.25490196078
0.5098039215686274,48241.13725490196,47552.74509803922
0.5294117647058824,48210.41176470588,47505.23529411765
0.5490196078431373,48179.686274509804,47457.72549019608
0.5686274509803921,48148.96078431373,47410.21568627451
0.5882352941176471,48118.23529411765,47362.705882352944
0.6078431372549019,48087.509803921566,47315.19607843137
0.6274509803921569,48056.78431372549,47267.686274509804
0.6470588235294118,48026.05882352941,47220.17647058824
0.6666666666666666,47995.333333333336,47172.666666666664
0.6862745098039216,47964.60784313725,47125.1568627451
0.7058823529411764,47933.882352941175,47077.64705882353
0.7254901960784313,47903.1568627451,47030.13725490196
0.7450980392156863,47872.43137254902,46982.62745098039
0.7647058823529411,47841.705882352944,46935.117647058825
0.7843137254901961,47810.98039215686,46887.60784313725
0.803921568627451,47780.25490196078,46840.098039215685
0.8235294117647058,47749.529411764706,46792.58823529412
0.8431372549019608,47718.80392156863,46745.07843137255
0.8627450980392157,47688.078431372545,46697.56862745098
0.8823529411764706,47657.35294117647,46650.05882352941
0.9019607843137255,47626.62745098039,46602.549019607846
0.9215686274509803,47595.901960784315,46555.03921568627
0.9411764705882353,47565.17647058824,46507.529411764706
0.9607843137254902,47534.450980392154,46460.01960784314
0.9803921568627451,47503.72549019608,46412.509803921566
1.0196078431372548,47445.35294117647,46357.117647058825
1.0392156862745099,47417.705882352944,46349.23529411765
1.0588235294117647,47390.05882352941,46341.35294117647
1.0784313725490196,47362.41176470588,46333.470588235294
1.0980392156862746,47334.76470588235,46325.58823529412
1.1176470588235294,47307.117647058825,46317.705882352944
1.1372549019607843,47279.470588235294,46309.82352941176
1.156862745098039,47251.82352941176,46301.94117647059
1.1764705882352942,47224.17647058824,46294.05882352941
1.196078431372549,47196.529411764706,46286.17647058824
1.215686274509804,47168.882352941175,46278.294117647056
1.2352941176470589,47141.23529411765,46270.41176470588
1.2549019607843137,47113.58823529412,46262.529411764706
1.2745098039215685,47085.94117647059,46254.64705882353
1.2941176470588236,47058.294117647056,46246.76470588235
1.3137254901960784,47030.64705882353,46238.882352941175
1.3333333333333333,47003.0,46231.0
1.3529411764705883,46975.35294117647,46223.117647058825
1.3725490196078431,46947.705882352944,46215.23529411765
1.392156862745098,46920.05882352941,46207.35294117647
1.4117647058823528,46892.41176470588,46199.470588235294
1.4313725490196079,46864.76470588235,46191.58823529412
1.4509803921568627,46837.117647058825,46183.705882352944
1.4705882352941178,46809.470588235294,46175.82352941176
1.4901960784313726,46781.82352941176,46167.94117647059
1.5098039215686274,46754.17647058824,46160.05882352941
1.5294117647058822,46726.529411764706,46152.17647058824
1.5490196078431373,46698.882352941175,46144.294117647056
1.5686274509803921,46671.23529411765,46136.41176470588
1.5882352941176472,46643.58823529412,46128.529411764706
1.607843137254902,46615.94117647059,46120.64705882353
1.6274509803921569,46588.294117647056,46112.76470588235
1.6470588235294117,46560.64705882353,46104.882352941175
1.6666666666666665,46533.0,46097.0
1.6862745098039216,46505.35294117647,46089.117647058825
1.7058823529411764,46477.705882352944,46081.23529411765
1.7254901960784315,46450.05882352941,46073.35294117647
1.7450980392156863,46422.41176470588,46065.470588235294
1.7647058823529411,46394.76470588235,46057.58823529412
1.784313725490196,46367.117647058825,46049.705882352944
1.803921568627451,46339.470588235294,46041.82352941176
1.8235294117647058,46311.82352941176,46033.94117647059
1.843137254901961,46284.17647058824,46026.05882352941
1.8627450980392157,46256.529411764706,46018.17647058824
1.8823529411764706,46228.882352941175,46010.294117647056
1.9019607843137254,46201.23529411765,46002.41176470588
1.9215686274509802,46173.58823529412,45994.529411764706
1.9411764705882353,46145.94117647059,45986.64705882353
1.9607843137254903,46118.294117647056,45978.76470588235
1.9803921568627452,46090.64705882353,45970.882352941175
2.019607843137255,46013.72549019608,45935.94117647059
2.0392156862745097,45964.450980392154,45908.882352941175
2.0588235294117645,45915.17647058824,45881.82352941176
2.0784313725490198,45865.901960784315,45854.76470588235
2.0980392156862746,45816.62745098039,45827.705882352944
2.1176470588235294,45767.35294117647,45800.64705882353
2.1372549019607843,45718.07843137255,45773.58823529412
2.156862745098039,45668.80392156863,45746.529411764706
2.176470588235294,45619.529411764706,45719.470588235294
2.196078431372549,45570.25490196078,45692.41176470588
2.215686274509804,45520.98039215686,45665.35294117647
2.235294117647059,45471.705882352944,45638.294117647056
