concentration,Alb SET1,Alb SET2
0.0196078431372549,57748.62745098039,58146.1568627451
0.0392156862745098,57607.25490196078,58003.313725490196
0.058823529411764705,57465.882352941175,57860.470588235294
0.0784313725490196,57324.509803921566,57717.62745098039
0.09803921568627451,57183.13725490196,57574.78431372549
0.11764705882352941,57041.76470588235,57431.94117647059
0.13725490196078433,56900.39215686275,57289.098039215685
0.1568627450980392,56759.01960784314,57146.25490196078
0.1764705882352941,56617.64705882353,57003.41176470588
0.19607843137254902,56476.27450980392,56860.56862745098
0.21568627450980393,56334.901960784315,56717.72549019608
0.23529411764705882,56193.529411764706,56574.882352941175
0.2549019607843137,56052.1568627451,56432.03921568627
0.27450980392156865,55910.78431372549,56289.19607843137
0.29411764705882354,55769.41176470588,56146.35294117647
0.3137254901960784,55628.03921568627,56003.509803921566
0.3333333333333333,55486.666666666664,55860.666666666664
0.3529411764705882,55345.294117647056,55717.82352941176
0.37254901960784315,55203.921568627455,55574.98039215686
0.39215686274509803,55062.549019607846,55432.13725490196
0.4117647058823529,54921.17647058824,55289.294117647056
0.43137254901960786,54779.80392156863,55146.450980392154
0.45098039215686275,54638.43137254902,55003.60784313725
0.47058823529411764,54497.05882352941,54860.76470588235
0.49019607843137253,54355.686274509804,54717.921568627455
0.5098039215686274,54214.313725490196,54575.078431372545
0.5294117647058824,54072.94117647059,54432.23529411765
0.5490196078431373,53931.56862745098,54289.39215686275
0.5686274509803921,53790.19607843137,54146.549019607846
0.5882352941176471,53648.82352941176,54003.705882352944
0.6078431372549019,53507.450980392154,53860.86274509804
0.6274509803921569,53366.078431372545,53718.01960784314
0.6470588235294118,53224.705882352944,53575.17647058824
0.6666666666666666,53083.333333333336,53432.333333333336
0.6862745098039216,52941.96078431373,53289.490196078434
0.7058823529411764,52800.58823529412,53146.64705882353
0.7254901960784313,52659.21568627451,53003.80392156863
0.7450980392156863,52517.8431372549,52860.96078431373
0.7647058823529411,52376.470588235294,52718.117647058825
0.7843137254901961,52235.098039215685,52575.27450980392
0.803921568627451,52093.72549019608,52432.43137254902
0.8235294117647058,51952.35294117647,52289.58823529412
0.8431372549019608,51810.98039215686,52146.74509803922
0.8627450980392157,51669.60784313726,52003.901960784315
0.8823529411764706,51528.23529411765,51861.05882352941
0.9019607843137255,51386.86274509804,51718.21568627451
0.9215686274509803,51245.490196078434,51575.37254901961
0.9411764705882353,51104.117647058825,51432.529411764706
0.9607843137254902,50962.74509803922,51289.686274509804
0.9803921568627451,50821.37254901961,51146.8431372549
1.0196078431372548,50545.72549019608,50870.13725490196
1.0392156862745099,50411.450980392154,50736.27450980392
1.0588235294117647,50277.17647058824,50602.41176470588
1.0784313725490196,50142.901960784315,50468.549019607846
1.0980392156862746,50008.62745098039,50334.686274509804
1.1176470588235294,49874.35294117647,50200.82352941176
1.1372549019607843,49740.078431372545,50066.96078431373
1.156862745098039,49605.80392156863,49933.098039215685
1.1764705882352942,49471.529411764706,49799.23529411765
1.196078431372549,49337.25490196078,49665.37254901961
1.215686274509804,49202.98039215686,49531.509803921566
1.2352941176470589,49068.705882352944,49397.64705882353
1.2549019607843137,48934.43137254902,49263.78431372549
1.2745098039215685,48800.1568627451,49129.92156862745
1.2941176470588236,48665.882352941175,48996.05882352941
1.3137254901960784,48531.60784313725,48862.19607843137
1.3333333333333333,48397.333333333336,48728.333333333336
1.3529411764705883,48263.05882352941,48594.470588235294
1.3725490196078431,48128.78431372549,48460.60784313725
1.392156862745098,47994.509803921566,48326.74509803922
1.4117647058823528,47860.23529411765,48192.882352941175
1.4313725490196079,47725.96078431373,48059.01960784314
1.4509803921568627,47591.686274509804,47925.1568627451
1.4705882352941178,47457.41176470588,47791.294117647056
1.4901960784313726,47323.13725490196,47657.43137254902
1.5098039215686274,47188.86274509804,47523.56862745098
1.5294117647058822,47054.58823529412,47389.705882352944
1.5490196078431373,46920.313725490196,47255.8431372549
1.5686274509803921,46786.03921568627,47121.98039215686
1.5882352941176472,46651.76470588235,46988.117647058825
1.607843137254902,46517.490196078434,46854.25490196078
1.6274509803921569,46383.21568627451,46720.39215686274
1.6470588235294117,46248.94117647059,46586.529411764706
1.6666666666666665,46114.666666666664,46452.666666666664
1.6862745098039216,45980.39215686274,46318.80392156863
1.7058823529411764,45846.117647058825,46184.94117647059
1.7254901960784315,45711.8431372549,46051.078431372545
1.7450980392156863,45577.56862745098,45917.21568627451
1.7647058823529411,45443.294117647056,45783.35294117647
1.784313725490196,45309.01960784314,45649.490196078434
1.803921568627451,45174.74509803922,45515.62745098039
1.8235294117647058,45040.470588235294,45381.76470588235
1.843137254901961,44906.19607843137,45247.901960784315
1.8627450980392157,44771.921568627455,45114.03921568627
1.8823529411764706,44637.64705882353,44980.17647058824
1.9019607843137254,44503.37254901961,44846.313725490196
1.9215686274509802,44369.098039215685,44712.450980392154
1.9411764705882353,44234.82352941176,44578.58823529412
1.9607843137254903,44100.549019607846,44444.72549019608
1.9803921568627452,43966.27450980392,44310.86274509804
2.019607843137255,43723.98039215686,44070.82352941176
2.0392156862745097,43615.96078431373,43964.64705882353
2.0588235294117645,43507.94117647059,43858.470588235294
2.0784313725490198,43399.92156862745,43752.294117647056
2.0980392156862746,43291.901960784315,43646.117647058825
2.1176470588235294,43183.882352941175,43539.94117647059
2.1372549019607843,43075.86274509804,43433.76470588235
2.156862745098039,42967.8431372549,43327.58823529412
2.176470588235294,42859.82352941176,43221.41176470588
2.196078431372549,42751.80392156863,43115.23529411765
2.215686274509804,42643.78431372549,43009.05882352941
